Age,Gender,Marital_Status,Occupation
20,Female,Single,Student
24,Female,Single,Student
22,Male,Single,Student
22,Female,Single,Student
22,Male,Single,Student
27,Female,Married,Employee
22,Male,Single,Student
24,Female,Single,Student
23,Female,Single,Student
23,Female,Single,Student
22,Female,Single,Student
23,Male,Single,Student
23,Male,Single,Student
21,Male,Single,Student
23,Female,Single,Self Employeed
24,Female,Single,Student
28,Female,Single,Employee
23,Female,Single,Student
25,Male,Single,Student
21,Female,Single,Student
24,Male,Single,Student
22,Male,Single,Student
22,Female,Single,Student
23,Male,Single,Student
21,Male,Single,Student
25,Male,Single,Student
22,Female,Single,Student
22,Male,Single,Student
23,Female,Single,Employee
22,Male,Single,Student
22,Female,Single,Employee
22,Male,Single,Student
25,Male,Married,Employee
22,Female,Single,Student
22,Female,Single,Student
25,Male,Single,Student
25,Male,Single,Student
32,Female,Prefer not to say,House wife
23,Female,Single,Student
23,Female,Single,Student
30,Male,Married,Self Employeed
23,Male,Single,Student
23,Male,Single,Student
22,Female,Single,Student
22,Male,Single,Student
27,Female,Married,Self Employeed
24,Female,Single,Student
23,Male,Single,Student
23,Female,Single,Student
22,Female,Single,Student
23,Female,Single,Student
23,Female,Single,Student
24,Male,Single,Student
25,Male,Single,Student
22,Male,Single,Student
28,Female,Married,Student
22,Female,Single,Student
24,Female,Single,Student
31,Male,Married,Employee
25,Male,Single,Student
23,Male,Single,Student
22,Male,Single,Student
23,Male,Single,Student
23,Male,Single,Student
23,Female,Single,Student
25,Male,Single,Student
24,Male,Single,Employee
23,Female,Single,Student
23,Female,Single,Student
24,Female,Married,Employee
22,Male,Single,Student
24,Female,Single,Student
25,Female,Single,Student
23,Male,Single,Student
26,Male,Single,Student
24,Female,Single,Student
26,Male,Single,Student
21,Male,Single,Student
22,Female,Single,Student
24,Male,Single,Student
24,Male,Single,Student
23,Female,Single,Student
23,Male,Single,Student
22,Male,Single,Student
23,Male,Single,Student
24,Female,Single,Student
24,Male,Single,Student
25,Male,Single,Student
25,Male,Single,Student
28,Male,Married,Self Employeed
27,Female,Prefer not to say,Employee
26,Male,Single,Self Employeed
22,Male,Single,Student
24,Female,Single,Student
23,Male,Single,Student
25,Male,Single,Student
23,Female,Single,Student
23,Female,Single,Student
26,Male,Married,Employee
32,Female,Married,House wife
24,Female,Single,Student
23,Male,Single,Student
22,Female,Single,Employee
24,Female,Single,Student
26,Male,Single,Employee
28,Male,Married,Employee
26,Male,Single,Employee
